"","time","mean_sumsize"
"1217",1217,24679.3
"1218",1218,24566.9
"1219",1219,24753
"1220",1220,25013
"1221",1221,24855
"1222",1222,24342.2
"1223",1223,24798.8
"1224",1224,24769.1
"1225",1225,25097.1
"1226",1226,24587.1
"1227",1227,24321.8
"1228",1228,24864.8
"1229",1229,24536.8
"1230",1230,24781.9
"1231",1231,24468.8
"1232",1232,24569
"1233",1233,24818.3
"1234",1234,25063.1
"1235",1235,24881.1
"1236",1236,24917.5
"1237",1237,25060.1
"1238",1238,24757.2
"1239",1239,24744.9
"1240",1240,25018
"1241",1241,24414.4
"1242",1242,24655.5
"1243",1243,24291.1
"1244",1244,24361.1
"1245",1245,24620.9
"1246",1246,25153
"1247",1247,24668.2
"1248",1248,24677
"1249",1249,24534
"1250",1250,24344
"1251",1251,24363.3
"1252",1252,24088.1
"1253",1253,24323.8
"1254",1254,25121.4
"1255",1255,25279.3
"1256",1256,24485.7
"1257",1257,24754
"1258",1258,24794.6
"1259",1259,24858.6
"1260",1260,25400.9
"1261",1261,24958.7
"1262",1262,24897.8
"1263",1263,25058.8
"1264",1264,24676.5
"1265",1265,24871
"1266",1266,24366.3
"1267",1267,24513.3
"1268",1268,24672.5
"1269",1269,24961.5
"1270",1270,25096.7
"1271",1271,25058.2
"1272",1272,25102.3
"1273",1273,24793.7
"1274",1274,24189.9
"1275",1275,24536.2
"1276",1276,24761.4
"1277",1277,24573.1
"1278",1278,24600
"1279",1279,24298.3
"1280",1280,24424.2
"1281",1281,24535.7
"1282",1282,24888.5
"1283",1283,24626.1
"1284",1284,25382.1
"1285",1285,24225.2
"1286",1286,24233.9
"1287",1287,24444.1
"1288",1288,24681
"1289",1289,24581.8
"1290",1290,24865.3
"1291",1291,24901.2
"1292",1292,24222.9
"1293",1293,24790.2
"1294",1294,25344.7
"1295",1295,25174.5
"1296",1296,24538.6
"1297",1297,24525.9
"1298",1298,24661.3
"1299",1299,24690.7
"1300",1300,25219.2
"1301",1301,24757
"1302",1302,24539.8
"1303",1303,24013.6
"1304",1304,24386.7
"1305",1305,24780.2
"1306",1306,24994.3
"1307",1307,24821.1
"1308",1308,25148.8
"1309",1309,24601.1
"1310",1310,24729.3
"1311",1311,24859.5
"1312",1312,24545.7
"1313",1313,24774.2
"1314",1314,24706
"1315",1315,24913.5
"1316",1316,25029.1
"1317",1317,25040.2
"1318",1318,24965
"1319",1319,24776
"1320",1320,24608.7
"1321",1321,25447.4
"1322",1322,24095.5
"1323",1323,24689.8
"1324",1324,24767.9
"1325",1325,24812.1
"1326",1326,24502.1
"1327",1327,25061.4
"1328",1328,24842.9
"1329",1329,24785.3
"1330",1330,24665.5
"1331",1331,24460.4
"1332",1332,24981.9
"1333",1333,24874.6
"1334",1334,24964.6
"1335",1335,24767.1
"1336",1336,25083.5
"1337",1337,24994.1
"1338",1338,24512.4
"1339",1339,24489.6
"1340",1340,24330.6
"1341",1341,24798.5
"1342",1342,25037.4
"1343",1343,24719
"1344",1344,24983.8
"1345",1345,25051.9
"1346",1346,24300.9
"1347",1347,24646.6
"1348",1348,24609.5
"1349",1349,24480.3
"1350",1350,24711.8
"1351",1351,24586.6
"1352",1352,25042.7
