"","time","mean_MR_mean_summ","mean_MR_sd_summ","mean_maladaptation_time"
"1088",1088,0.0879992606178353,0.136479129134062,0.8
"1089",1089,0.0885433734505501,0.137265720972611,0.9
"1090",1090,0.083710042905661,0.13161484231026,0.8
"1091",1091,0.0799146829354733,0.127374765848919,0.9
"1092",1092,0.0835577715212627,0.132164052302188,0.9
"1093",1093,0.080010105097719,0.127734877619781,0.9
"1094",1094,0.0783384593195351,0.125228258079054,0.8
"1095",1095,0.0719132287460544,0.118302511010219,0.7
"1096",1096,0.0762001934570809,0.125808998682477,0.9
"1097",1097,0.0772196362272826,0.130706311329403,0.9
"1098",1098,0.0646743926299633,0.112715717981621,0.8
"1099",1099,0.0742593521011414,0.124597417855303,1
"1100",1100,0.0725789798939304,0.12496962268539,0.9
"1101",1101,0.0672167512879971,0.117322634135229,0.9
"1102",1102,0.0657800570902536,0.113871768371009,0.8
"1103",1103,0.0685831100428455,0.118696234956386,0.7
"1104",1104,0.0665971114741697,0.115842448600753,0.8
"1105",1105,0.0641114803175369,0.112291306185054,0.7
"1106",1106,0.0663447764834154,0.117771029171975,1
"1107",1107,0.062633229727828,0.111403613964031,1
"1108",1108,0.0627084423279056,0.112262261909093,1
"1109",1109,0.0633627520886917,0.115479247923795,0.9
"1110",1110,0.058986605638235,0.108525422363515,1
"1111",1111,0.0619630276145213,0.112613298813525,0.9
"1112",1112,0.0576188723538583,0.106237203558649,1
"1113",1113,0.0576487950897085,0.107535847703448,1
"1114",1114,0.0558713001731652,0.104245665278819,0.9
"1115",1115,0.0527855016278119,0.100138606696069,0.9
"1116",1116,0.0562916532424724,0.107081818361555,0.9
"1117",1117,0.0554194515569797,0.106096527568487,0.9
"1118",1118,0.0525962660721939,0.101299201567106,0.8
"1119",1119,0.0569110950613451,0.108657824232757,0.9
"1120",1120,0.0557782192042398,0.106642887307545,0.9
"1121",1121,0.0575492586582964,0.110001807606192,0.8
"1122",1122,0.0551683243138577,0.106700813499126,0.7
"1123",1123,0.0627567980843365,0.119357501674232,1
"1124",1124,0.0589219744813107,0.112116090320684,0.9
"1125",1125,0.05786182342853,0.110239492362157,0.8
"1126",1126,0.0520804804926659,0.102299185217625,0.6
"1127",1127,0.054741116755115,0.105149309748101,1
"1128",1128,0.0555625770224708,0.106727767723546,0.9
"1129",1129,0.0491534912193687,0.0979165119297034,0.7
"1130",1130,0.0488641518473499,0.0980203849786412,0.8
"1131",1131,0.0512307274168865,0.101362996287919,0.8
"1132",1132,0.050006340521085,0.0992245728770077,0.8
"1133",1133,0.0537577458367714,0.105885090907631,0.9
"1134",1134,0.0493301328380222,0.0995534263302378,0.8
"1135",1135,0.0497604091833704,0.101087932470641,0.9
"1136",1136,0.0463570338362,0.0950143692651837,0.7
"1137",1137,0.0460927103939096,0.0950454962752725,0.8
"1138",1138,0.0449734743845719,0.0923923487836608,1
"1139",1139,0.0461948184748986,0.0949349593384258,0.8
"1140",1140,0.0476786555040069,0.0973933179500668,0.8
"1141",1141,0.0471768849649162,0.0980710144246998,0.9
"1142",1142,0.0473829948732589,0.0984891914647868,1
"1143",1143,0.0473655088793806,0.0979855053456761,0.9
"1144",1144,0.0485127873893163,0.100981453168354,0.9
"1145",1145,0.0456465327150928,0.096648818523737,0.6
"1146",1146,0.0443685566841172,0.0940336546805385,0.9
"1147",1147,0.044388493616392,0.0939675173184518,0.9
"1148",1148,0.0419224601529311,0.0904169619938316,0.7
"1149",1149,0.0426077804079096,0.0918057243467761,0.9
"1150",1150,0.0433035405297158,0.0937301549340883,0.9
"1151",1151,0.0431948538242922,0.0931651800904718,0.8
"1152",1152,0.042593928358409,0.0916136520846111,0.7
"1153",1153,0.0456328343225746,0.0964587563702644,0.6
"1154",1154,0.0473171996897434,0.0989819600232377,0.8
"1155",1155,0.0444278995596511,0.095430480384727,0.7
"1156",1156,0.0423376176144514,0.0917383976220912,0.8
"1157",1157,0.0415011757806183,0.0908281294238565,0.8
"1158",1158,0.044081734064962,0.0944997912722026,0.8
"1159",1159,0.0439709912181229,0.094764133332442,0.7
"1160",1160,0.0451029645107359,0.0959410681648404,0.9
"1161",1161,0.0425761186933193,0.0925027906765834,0.8
"1162",1162,0.0440880083408816,0.0950666623467073,0.7
"1163",1163,0.0413367791887141,0.0906460576923069,0.8
"1164",1164,0.0451357039955501,0.0967956536814049,0.8
"1165",1165,0.0430949097302085,0.0930611830991464,0.5
"1166",1166,0.0419463399643247,0.0914400694570171,0.6
"1167",1167,0.0422040195006815,0.0921977233031052,0.6
"1168",1168,0.0415233488364632,0.0908604199522366,0.8
"1169",1169,0.0411689949404887,0.09076419492445,0.7
"1170",1170,0.0415753303081828,0.091705225820141,0.8
"1171",1171,0.0422364660395349,0.0922630435809923,0.6
"1172",1172,0.0400710837121669,0.0886785477808407,0.6
"1173",1173,0.041057795127319,0.0905070533012394,0.8
"1174",1174,0.0408192982477933,0.0900381451815145,0.7
"1175",1175,0.0394551880167155,0.0875847852672655,0.6
"1176",1176,0.0394722062223865,0.0873189128229328,0.8
"1177",1177,0.0396466118546136,0.0875246194666953,0.8
"1178",1178,0.038318763736921,0.0853092976829328,0.7
"1179",1179,0.0383416802373446,0.0855682840965053,0.7
"1180",1180,0.0394024726839082,0.0882760620959573,0.7
"1181",1181,0.0411195505118992,0.0913292545639472,0.8
"1182",1182,0.0384907733652139,0.0873924335011803,0.8
"1183",1183,0.038888972910792,0.0875707597440856,0.8
"1184",1184,0.0403350853877593,0.090215348355624,0.7
"1185",1185,0.0395452612657346,0.08907677470981,0.6
"1186",1186,0.0405119257490539,0.0901660760308859,0.7
"1187",1187,0.0422828621697642,0.0932368870022629,0.8
"1188",1188,0.0431260007756187,0.0943762289971492,0.9
"1189",1189,0.0403805179619478,0.0903009154571934,0.6
"1190",1190,0.0380785412170703,0.0865735151468675,0.7
"1191",1191,0.0400875448747418,0.0895161044542715,0.7
"1192",1192,0.0385110138106561,0.0869939692696501,0.8
"1193",1193,0.0388080451118497,0.088408055454144,0.8
"1194",1194,0.039189590351299,0.0888488757579535,0.8
"1195",1195,0.0404315666953233,0.0901202029408996,0.8
"1196",1196,0.0390535572952021,0.0881567546567387,0.7
"1197",1197,0.0390324922192524,0.0877099600993776,0.5
"1198",1198,0.0402734996093108,0.090394643085884,0.7
"1199",1199,0.0407095246414003,0.0911074228630664,0.8
"1200",1200,0.039809756576727,0.0898174338014379,0.6
"1201",1201,0.039671286488062,0.0896551590109701,0.7
"1202",1202,0.0391755772773741,0.0889055108519204,0.7
"1203",1203,0.0380667722502765,0.0869027043185781,0.7
"1204",1204,0.0380113575231908,0.0867202360146766,0.6
"1205",1205,0.0367348336173974,0.0848913058692454,0.6
"1206",1206,0.0374851032573633,0.0858354504044511,0.6
"1207",1207,0.0383997859704733,0.0876839877624811,0.8
"1208",1208,0.0382235087106537,0.0875283755487556,0.7
"1209",1209,0.0385240603534912,0.0880415178433994,0.6
"1210",1210,0.0372551537850443,0.0861336259969066,0.5
"1211",1211,0.0374226030804761,0.0866270548519063,0.5
"1212",1212,0.0376437388200554,0.0870895926847396,0.7
"1213",1213,0.0370513918519049,0.0860088005876514,0.6
"1214",1214,0.0370625798858679,0.0859853284037385,0.7
"1215",1215,0.0373816198731163,0.0867882396575585,0.6
"1216",1216,0.0365677813039434,0.0851057929001406,0.4
"1217",1217,0.0390637392174401,0.0891868065987522,0.9
"1218",1218,0.038059998297836,0.0877551158048611,0.5
"1219",1219,0.0394907823262414,0.0904736677278188,0.8
"1220",1220,0.0382243864857437,0.0878424473205311,0.7
"1221",1221,0.0373066247458775,0.086174076163296,0.6
"1222",1222,0.0382506199987979,0.0876963434927937,0.8
"1223",1223,0.0378649367616651,0.0867875740130827,0.4
"1224",1224,0.0380918229697788,0.0874314995445812,0.8
"1225",1225,0.0363291846521977,0.0845213614992499,0.3
"1226",1226,0.0369068734226385,0.0859939992165275,0.7
"1227",1227,0.0369117724870618,0.0859524465410302,0.7
"1228",1228,0.0376893681540874,0.0877430501415845,0.9
"1229",1229,0.0366420072460056,0.0854530096978102,0.7
"1230",1230,0.0371591347933455,0.0861509386905946,0.6
"1231",1231,0.0363614880302002,0.0846418905695057,0.5
"1232",1232,0.0384227218624546,0.0886581212906418,0.7
"1233",1233,0.037500023491771,0.0866186810477063,0.6
"1234",1234,0.037546776936349,0.0873056352844835,0.8
"1235",1235,0.0366023321102999,0.0851625371283508,0.7
"1236",1236,0.0367356867549327,0.0852031149683264,0.9
"1237",1237,0.0363624857527109,0.0845494752265514,0.6
"1238",1238,0.0357184976358418,0.0833774433236188,0.4
"1239",1239,0.0366965981429902,0.0854021321470319,0.6
"1240",1240,0.0374571851521249,0.0870798376506756,0.9
"1241",1241,0.0364330742132335,0.0850460559070367,0.6
"1242",1242,0.0382280004326613,0.0887652919465958,0.7
"1243",1243,0.0386689206111484,0.0891009893317363,0.8
"1244",1244,0.0372373123082655,0.0865801482164974,0.6
"1245",1245,0.0369043585884948,0.0857752059269811,0.6
"1246",1246,0.036638950810678,0.0849697027134163,0.3
"1247",1247,0.035915955510759,0.083807367191064,0.2
"1248",1248,0.0370195235180211,0.0861852173011465,0.7
"1249",1249,0.035335522282645,0.0828154365190018,0.2
"1250",1250,0.0356523720075294,0.0835409954078243,0.4
"1251",1251,0.0357838487078012,0.0838325856698411,0.5
"1252",1252,0.0360486024002953,0.0844208680682898,0.4
"1253",1253,0.0346557113186816,0.0817869682335367,0.1
